#####OBJ_WEAPONS
#####ARTIFACTS
%sdir item/weapon
spwpn_singing_sword SPWPN_SINGING_SWORD
swamp_dragon_hide ARM_SWAMP_DRAGON_HIDE
swamp_dragon_armour ARM_SWAMP_DRAGON_ARMOUR

elven_shield ARM_SHIELD
shield_kite2 ARM_SHIELD_1
shield_round2 ARM_SHIELD_2

#dwarvish_roundshield ARM_BUCKLER
small_shield ARM_BUCKLER
shield_rohan ARM_BUCKLER_1

large_shield ARM_LARGE_SHIELD
shield_large2 ARM_LARGE_SHIELD_1
shield_kite3 ARM_LARGE_SHIELD_2

leather_cloak ARM_CLOAK
cloak2 ARM_CLOAK_1
cloak3 ARM_CLOAK_2
cloak4 ARM_CLOAK_3

#####ARM_HELMET
elven_leather_helm THELM_CAP
wizard_hat THELM_WIZARD_HAT

visored_helmet THELM_HELM
etched_helmet THELM_HELM_1
helm3 THELM_HELM_2
helm_visor1 THELM_HELM_3

###### GLOVES
glove1 ARM_GLOVES
glove3 ARM_GLOVES_1
glove5 ARM_GLOVES_2
gauntlet2 ARM_GLOVES_3

###### BOOTS
boots_brown1 ARM_BOOTS
jackboots ARM_BOOTS_1
boots_stripe1 ARM_BOOTS_2
boots_green2 ARM_BOOTS_3

###########OBJ_WANDS
%sdir item/wand
gem_iron WAND_OFFSET /*iron*/
gem_brass 1 /*brass*/  IGNORE_COMMENT
gem_bone 2 /*bone*/ IGNORE_COMMENT
gem_wood 3 /*wood*/ IGNORE_COMMENT
gem_copper 4 /*copper*/ IGNORE_COMMENT
gem_gold 5 /*gold*/ IGNORE_COMMENT
gem_silver 6 /*silver*/ IGNORE_COMMENT
gem_bronze 7 /*bronze*/ IGNORE_COMMENT
gem_ivory 8 /*ivory*/ IGNORE_COMMENT
gem_glass 9 /*glas*/ IGNORE_COMMENT
gem_lead 10 /*lead*/ IGNORE_COMMENT
gem_plastic 11 /*plas*/ IGNORE_COMMENT
#################OBJ_FOOD
%sdir item/food
tripe_ration FOOD_MEAT_RATION
bread_ration FOOD_BREAD_RATION
pear FOOD_PEAR
apple FOOD_APPLE
choko FOOD_CHOKO
honeycomb FOOD_HONEYCOMB
lump_of_royal_jelly FOOD_ROYAL_JELLY
snozzcumber FOOD_SNOZZCUMBER
pizza FOOD_PIZZA
apricot FOOD_APRICOT
orange FOOD_ORANGE
banana FOOD_BANANA
strawberry FOOD_STRAWBERRY
rambutan FOOD_RAMBUTAN
lemon FOOD_LEMON
grape FOOD_GRAPE
sultana FOOD_SULTANA
lychee FOOD_LYCHEE
beef_jerky FOOD_BEEF_JERKY
cheese FOOD_CHEESE
sausage FOOD_SAUSAGE
corpse FOOD_CHUNK
corpse_rotten FOOD_CHUNK_ROTTEN
bone FOOD_BONE
#################OBJ_UNKNOWN_I
##################OBJ_SCROLLS
%sdir item/scroll
kernod_wel SCROLL
##################OBJ_JEWELLERY
############ring
%sdir item/ring
wooden RING_NORMAL_OFFSET /*wood*/
silver  /*silver*/ IGNORE_COMMENT
gold  /*gold*/ IGNORE_COMMENT
iron  /*iron*/ IGNORE_COMMENT
steel  /*steel*/ IGNORE_COMMENT
bronze  /*bronze*/ IGNORE_COMMENT
brass  /*brass*/ IGNORE_COMMENT
copper  /*copper*/ IGNORE_COMMENT
granite  /*granite*/ IGNORE_COMMENT
ivory  /*ivory*/ IGNORE_COMMENT
clay  /*bone*/ IGNORE_COMMENT
tiger_eye  /*marble*/ IGNORE_COMMENT
jade  /*jade*/ IGNORE_COMMENT
glass 13 /*glass*/ IGNORE_COMMENT
###########random
agate RING_RANDOM_OFFSET
clay 2 IGNORE_COMMENT
diamond 3 IGNORE_COMMENT
emerald 4  IGNORE_COMMENT
gold_green 5 IGNORE_COMMENT
gold_red 6 IGNORE_COMMENT
opal 7 IGNORE_COMMENT
pearl 8 IGNORE_COMMENT
coral 9 IGNORE_COMMENT
gold_blue 10 IGNORE_COMMENT
plain_red 11 IGNORE_COMMENT
plain_yellow 12 IGNORE_COMMENT
plain_black 13 IGNORE_COMMENT
bronze 14 IGNORE_COMMENT
moonstone 15 IGNORE_COMMENT

###amulets
%sdir item/amulet
crystal_white AMU_NORMAL_OFFSET /*zirconium*/
stone3_blue 1 /*sapphire*/ IGNORE_COMMENT
face1_gold 2 /*golden*/ IGNORE_COMMENT
stone3_green 3 /*emerald*/ IGNORE_COMMENT
stone2_red 4 /*garnet*/ IGNORE_COMMENT
eye_magenta 5 /*bronze*/ IGNORE_COMMENT
face2 6 /*brass*/ IGNORE_COMMENT
penta_orange 7 /*copper*/ IGNORE_COMMENT
celtic_red 8 /*ruby*/ IGNORE_COMMENT
cameo_blue 9 /*ivory*/ IGNORE_COMMENT
bone_gray 10 /*bone*/ IGNORE_COMMENT
cylinder_gray 11 /*platinum*/ IGNORE_COMMENT
ring_green 12 /*jade*/ IGNORE_COMMENT
ring_cyan 13 /*plastic*/ IGNORE_COMMENT
###random
crystal_green AMU_RANDOM_OFFSET
cameo_orange 2 IGNORE_COMMENT
celtic_blue 3 IGNORE_COMMENT
eye_cyan 4 IGNORE_COMMENT
penta_green 5 IGNORE_COMMENT
ring_red 6 IGNORE_COMMENT
stone1_cyan 7 IGNORE_COMMENT
stone1_pink 8 IGNORE_COMMENT
stone2_green 9 IGNORE_COMMENT
stone3_magenta 10 IGNORE_COMMENT
celtic_yellow 11 IGNORE_COMMENT
stone1_green 12 IGNORE_COMMENT
stone2_blue 13 IGNORE_COMMENT
crystal_red 14 IGNORE_COMMENT
eye_green 15 IGNORE_COMMENT

####################OBJ_POTIONS
%sdir item/potion
clear POTION_OFFSET /*clear*/
brilliant_blue 1 /*blue*/ IGNORE_COMMENT
black 2 /*black*/ IGNORE_COMMENT
silver 3 /*silver*/ IGNORE_COMMENT
cyan 4 /*cyan*/ IGNORE_COMMENT
magenta 5 /*purple*/ IGNORE_COMMENT
orange 6 /*orange*/ IGNORE_COMMENT
dark 7 /*inky*/ IGNORE_COMMENT
ruby 8 /*red*/ IGNORE_COMMENT
yellow 9 /*yellow*/ IGNORE_COMMENT
emerald 10 /*green*/ IGNORE_COMMENT
brown 11 /*brown*/ IGNORE_COMMENT
pink 12 /*pink*/ IGNORE_COMMENT
white 13 /*white*/ IGNORE_COMMENT

####################OBJ_UNKNOWN_II
#####################OBJ_BOOKS
###0paperback / hardback 16
%sdir item/book
book_of_the_dead BOOK_PAPER_OFFSET
dark_blue IGNORE_COMMENT
dark_green IGNORE_COMMENT
cyan IGNORE_COMMENT
red IGNORE_COMMENT
purple IGNORE_COMMENT
tan IGNORE_COMMENT
light_gray IGNORE_COMMENT
dark_gray IGNORE_COMMENT
light_blue IGNORE_COMMENT
light_green IGNORE_COMMENT
turquoise IGNORE_COMMENT
pink IGNORE_COMMENT
magenta IGNORE_COMMENT
yellow IGNORE_COMMENT
white IGNORE_COMMENT
##########leather 8
parchment BOOK_LEATHER_OFFSET
leather IGNORE_COMMENT
tan IGNORE_COMMENT
plaid IGNORE_COMMENT
light_brown IGNORE_COMMENT
light_brown IGNORE_COMMENT
dark_brown IGNORE_COMMENT
dark_brown IGNORE_COMMENT
###########3metal 8
bronze BOOK_METAL_OFFSET
copper IGNORE_COMMENT
silver IGNORE_COMMENT
gold IGNORE_COMMENT
glittering IGNORE_COMMENT
metal_blue IGNORE_COMMENT
metal_cyan IGNORE_COMMENT
metal_green IGNORE_COMMENT
############4papi 1
cloth BOOK_PAPYRUS
#####################OBJ_STAVES
%sdir item/wand
staff00 STAFF_OFFSET /*curved*/
staff01 1 /*glowing*/ IGNORE_COMMENT
staff02 2 /*thick*/ IGNORE_COMMENT
staff03 3 /*thin*/ IGNORE_COMMENT
staff04 4 /*long*/ IGNORE_COMMENT
staff05 5 /*twisted*/ IGNORE_COMMENT
staff06 6 /*jeweled*/ IGNORE_COMMENT
staff07 7 /*runed*/ IGNORE_COMMENT
staff08 8 /*smoking*/ IGNORE_COMMENT
staff09 9 /*gnarled*/ IGNORE_COMMENT

#OBJ_ORBS
%sdir item/misc
misc_orb ORB

#OBJ_MISCELLANY
misc_bottle MISC_BOTTLED_EFREET
misc_crystal MISC_CRYSTAL_BALL_OF_SEEING
misc_fan MISC_AIR_ELEMENTAL_FAN
misc_lamp MISC_LAMP_OF_FIRE
misc_stone MISC_STONE_OF_EARTH_ELEMENTALS
misc_lantern MISC_LANTERN_OF_SHADOWS
misc_horn MISC_HORN_OF_GERYON
misc_box MISC_BOX_OF_BEASTS
misc_deck MISC_DECK_OF_WONDERS
misc_deck MISC_DECK_OF_SUMMONINGS
misc_crystal MISC_CRYSTAL_BALL_OF_ENERGY
misc_box MISC_EMPTY_EBONY_CASKET
misc_crystal MISC_CRYSTAL_BALL_OF_FIXATION
misc_disc MISC_DISC_OF_STORMS
misc_rune MISC_RUNE_OF_ZOT
misc_deck MISC_DECK_OF_TRICKS
misc_deck MISC_DECK_OF_POWER
misc_altar MISC_PORTABLE_ALTAR_OF_NEMELEX

#OBJ_CORPSES

#OBJ_GOLD
%sdir item/gem
gold_piece GOLD
#OBJ_GEMSTONES
